mssv,namsinh,gioitinh,hieusotuoi,khoahoc,lopsh,hedt,dien_tt,loaitruong,khuvuc,xeploai_diemtt,avxl
4E6F6B53XPvAibaEXe/YiexZYoq8nzCPwcgxhSoR,1998.0,1.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
B7798017XPvAibaEXe/YiexZYoq8n4VEM7QbMQLy,1998.0,1.0,0.0,11.0,HTTT0001,CLC,0,THCS&THPT,Khu vực 3,3,ENG01
0B2AAC0EXPvAibaEXe9CJmVsz9P34qS8MDP5qhfn,1997.0,1.0,-1.0,11.0,HTTT0001,CLC,0,THPT,Khu vực 1,4,ENG01
7F57E0CAXPvAibaEXe9CJmVsz9P34gSFnyCRxpl4,1998.0,1.0,0.0,11.0,MTCL2016.1,CLC,0,THCS&THPT,Khu vực 3,4,ENGBT
55C4950AXPvAibaEXe9CJmVsz9P34pEFprlIxi9u,1998.0,1.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 2,3,ENG01
2D62888EXPvAibaEXe9CJmVsz9P34tT9eWJLg/yU,1997.0,1.0,-1.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 1,1,ENG01
10BC2077XPvAibaEXe+JF4o+SEKcGNvyuiGTmxfU,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
D907516FXPvAibaEXe+JF4o+SEKcGHJ11J0czGJq,1998.0,1.0,0.0,11.0,HTTT0001,CLC,0,THPT,Khu vực 2,3,ENG01
2D7CECE5XPvAibaEXe+JF4o+SEKcGCMQzap69uIQ,1998.0,1.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 3,3,ENG01
43D5F13BXPvAibaEXe+JF4o+SEKcGJ+PtNJ2F/he,1998.0,1.0,0.0,11.0,HTTT0001,CLC,0,THPT,Khu vực 2 NT,4,ENG01
94908D99XPvAibaEXe+JF4o+SEKcGO66xrFvn1ci,1998.0,1.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 3,4,ENG01
ADB95D1BXPvAibaEXe+JF4o+SEKcGDSWthX0QZQy,1998.0,1.0,0.0,11.0,KTMT2016,CQUI,0,THPT,Khu vực 2,3,ENG01
3526D59AXPvAibaEXe9GqQkS1wvjIRxFTurXY4N0,1998.0,0.0,0.0,11.0,HTCL2016.1,CLC,0,THPT,Khu vực 1,4,ENG01
3E7D7414XPvAibaEXe9GqQkS1wvjIQ+HucXy+oQw,1998.0,1.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 2 NT,3,ENG01
7A0295BEXPvAibaEXe9GqQkS1wvjIY8Eyvx1K5/i,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
C4CBD3D0XPvAibaEXe9GqQkS1wvjIfdwTUgYoH3P,1998.0,1.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 1,3,ENG02
90F47A12XPvAibaEXe9GqQkS1wvjITU0dFA1PexQ,1998.0,1.0,0.0,11.0,MTCL2016.1,CLC,0,THPT,Khu vực 1,3,ENG01
