id,mssv,listening,reading,total,mamh,ghichu
175,2900754CXPvAibaEXe9gcLLHJLBBnX1D4yMOsVg0,,,17.0,AVSC,
176,3DD6D60BXPvAibaEXe/81GDNmtxKsSpculnFzj6s,,,17.0,AVSC,
177,01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt,,,18.0,AVSC,
178,FF9BCACDXPvAibaEXe9a9WHB728zIL656Mdf6zEw,,,18.0,AVSC,
179,22101E7EXPvAibaEXe+EYzJPHISY88zmD5Ggw1zy,,,18.0,AVSC,
181,7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,,,19.0,AVSC,
182,68481D94XPvAibaEXe+3sZoWnetaj+cTym+QdnwT,,,19.0,AVSC,
183,1C245E0EXPvAibaEXe/rR9uJzGOYEuQ8DvEilYoI,,,19.0,AVSC,
184,1018ADF8XPvAibaEXe/5n/8z7IorIk20OdhUEnK0,,,19.0,AVSC,
185,330A20C4XPvAibaEXe+n4oL3iuTqC+0PyxPF31kr,,,19.0,AVSC,
186,6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,,,19.0,AVSC,
187,A99910D5XPvAibaEXe8X/UxhAbbOGw8A+5PDAGk9,,,19.0,AVSC,
188,3B36303EXPvAibaEXe92Jin2iMtHCuWTyMGfWwjT,,,19.0,AVSC,
189,D18E8F78XPvAibaEXe8G+DN2/i3pryst66Pf9PYJ,,,19.0,AVSC,
190,F26FD744XPvAibaEXe8OLQLlidG6//6ShwJ1wZku,,,19.0,AVSC,
191,4C9B57D9XPvAibaEXe8eJZh5OyStbNCI+BAkeQmo,,,19.0,AVSC,
192,15A008BEXPvAibaEXe8X/UxhAbbOG1sG/TbS5k88,,,19.0,AVSC,
193,92F8B64EXPvAibaEXe+YFpGAAgvtefsYfGW2BhK3,,,19.0,AVSC,
194,119C7562XPvAibaEXe/rR9uJzGOYEkfPMWFUTNpZ,,,19.0,AVSC,
195,8A28E60EXPvAibaEXe9OORQ1xsw6nv5CUStjJAu6,,,19.0,AVSC,
196,89BF1B4BXPvAibaEXe/v5x/h23myCcvAATP35Y2J,,,20.0,AVSC,
197,56996328XPvAibaEXe8FGyuwtFnKnOqpMxWSLkC/,,,20.0,AVSC,
198,649B938BXPvAibaEXe9IFJLLU9DVVZoHDwmaCg4s,,,20.0,AVSC,
199,DCD90AC2XPvAibaEXe9KS65t7Tb/qM1p6wX0RxXR,,,20.0,AVSC,
200,B3F16D5DXPvAibaEXe/agc6/owW5CGwRRuccquwf,,,20.0,AVSC,
201,DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,,,20.0,AVSC,
202,C2218479XPvAibaEXe/agc6/owW5CH4478G8f1TP,,,20.0,AVSC,
203,FD80AB73XPvAibaEXe+XQbEHiLBIRamkrkJOEq58,,,20.0,AVSC,
204,FE3AC989XPvAibaEXe8VnqU11737Hl6IFmKBfB+P,,,20.0,AVSC,
205,7D4060BBXPvAibaEXe8Ve7JqRML75f60sgal9POH,,,20.0,AVSC,
206,3C65A25EXPvAibaEXe998fVikzcJIuk4ang3tj+3,,,20.0,AVSC,
207,E5B18116XPvAibaEXe/7jtQOMcuJ+3mMd8xWafpS,,,20.0,AVSC,
208,ADC5F05DXPvAibaEXe+3sZoWnetajz661V0/hMR1,,,20.0,AVSC,
209,2B8BC614XPvAibaEXe/uPR0E3TEtQm7Vvb2UfkDr,,,20.0,AVSC,
210,00E148C2XPvAibaEXe+YFpGAAgvteQTcTeueqms0,,,20.0,AVSC,
211,487A9A3FXPvAibaEXe+n4oL3iuTqC6vV9FvUFu7N,,,20.0,AVSC,
212,BD0493E1XPvAibaEXe/WTR5UGsYutA7PJ6yFCsBD,,,20.0,AVSC,
213,21478CA5XPvAibaEXe87069oyWO+Ia90rjo5SvVw,,,21.0,AVSC,
214,D6527C3BXPvAibaEXe9eYPx3anXXhH8it6AZlLzp,,,21.0,AVSC,
215,CC6A9A36XPvAibaEXe87069oyWO+IdRQUNsRf3jJ,,,21.0,AVSC,
216,84C35FAEXPvAibaEXe/BLy1WUS+NVj4ytGkizcS1,,,21.0,AVSC,
217,1EDA2DA4XPvAibaEXe8lzySxhHiT0RqGwGqh/eBg,,,21.0,AVSC,
220,DF522B8DXPvAibaEXe+zrGHfAUSFacLkM4T9DLZg,,,21.0,AVSC,
221,58C3BAECXPvAibaEXe/jA2MATe6eKg/8OGy+CwwB,,,21.0,AVSC,
222,604A61D2XPvAibaEXe+g2dQ0D263aZSBBb1uQ+ou,,,21.0,AVSC,
223,4842D442XPvAibaEXe+wVOsoF63SsLCyCepkMYRu,,,21.0,AVSC,
225,006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL,,,21.0,AVSC,
227,25E596D7XPvAibaEXe9W7fV/x7qyQKb8gpK3QObP,,,21.0,AVSC,
229,28F6E5E2XPvAibaEXe8UBGVVSBKSkgHdFRn4cEDg,,,21.0,AVSC,
230,7F57E0CAXPvAibaEXe9CJmVsz9P34gSFnyCRxpl4,,,21.0,AVSC,
231,73EBC2A0XPvAibaEXe9A3Yjgh4iPfsTl7Hkve08O,,,21.0,AVSC,
232,48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,,,21.0,AVSC,
234,2D14C10DXPvAibaEXe9XrYsEpevBo9IvzkP6Fz7n,,,22.0,AVSC,
235,27DEED3DXPvAibaEXe+wVOsoF63SsFd2Mp70LIMr,,,22.0,AVSC,
236,EE6BEA20XPvAibaEXe87qJpUsO6V7Q5qVfwmgf40,,,22.0,AVSC,
237,85B8581AXPvAibaEXe9kJ+qYUUrp691e6albNlig,,,22.0,AVSC,
238,3B582529XPvAibaEXe8FAisiSJM2IrqJDUgjWexI,,,22.0,AVSC,
239,CE26DE57XPvAibaEXe/ns/wSuHF6kIdO4NoVtFhP,,,22.0,AVSC,
240,3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,,,22.0,AVSC,
241,923950A6XPvAibaEXe8UBGVVSBKSkqDyKnP1YxDR,,,22.0,AVSC,
242,4CC723E2XPvAibaEXe876wt31yGPP6r9sXqNueqs,,,22.0,AVSC,
243,10E59E76XPvAibaEXe998fVikzcJIr3mNM3FOo5P,,,22.0,AVSC,
244,0B431A01XPvAibaEXe87069oyWO+IS0M6kVzLXKw,,,22.0,AVSC,
246,148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,,,22.0,AVSC,
247,45C1AE02XPvAibaEXe+Y2Dmraxe1iZRzEs93KNw/,,,22.0,AVSC,
248,EA7B8E5FXPvAibaEXe8zjuWfAVBr9cS9jZZ7+sgV,,,22.0,AVSC,
249,E402E8DCXPvAibaEXe876wt31yGPP/BDYut7u/p4,,,22.0,AVSC,
250,843E09D5XPvAibaEXe+wVOsoF63SsA/SMCcbPHeo,,,22.0,AVSC,
253,7B20E493XPvAibaEXe+LbmSTUWVMuONuSvs2x/3l,,,22.0,AVSC,
254,106C1014XPvAibaEXe9CJmVsz9P34llPLLtWfMbO,,,22.0,AVSC,
255,424EB384XPvAibaEXe/ns/wSuHF6kAg0pvH9yY1n,,,22.0,AVSC,
256,6346E154XPvAibaEXe8enouoh243g/dhreMbu5xg,,,23.0,AVSC,
257,E40D7555XPvAibaEXe+7uLWSh9XvQldFZO++DN6K,,,23.0,AVSC,
258,9459651DXPvAibaEXe88L+jeN4TPm+kq8KkjBzW+,,,23.0,AVSC,
259,DA535D84XPvAibaEXe/KpP1fV6ua5yY+4IoIEWJj,,,23.0,AVSC,
260,3670B2F3XPvAibaEXe92Jin2iMtHCooAV2Og/xCx,,,23.0,AVSC,
