id,mssv,tinhtrang,lydo,hocky,namhoc,soqd,ngayqd
7668,FE176735XPvAibaEXe+1P/4gNbgreQ94npTP4/sD,2.0,Bị cảnh cáo vì:\n- Vì ĐTB học kỳ 1 < 3\n- Vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7669,85AB9A11XPvAibaEXe+cD1fKElqxL3rmZzDf2Nuw,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7670,E934BCD3XPvAibaEXe86736b6Ol+/MLJ5vOrqV8U,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7671,9A2B00E7XPvAibaEXe+kwIr/VXjl0y8cEqB0jdRP,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7672,061A670AXPvAibaEXe9fafwYRU+NpkvJumT/CzS9,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7673,280C7EA5XPvAibaEXe/Lh6v1XxTKJQPUP8Q5F4WX,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7675,DC3809C1XPvAibaEXe+suUpvSAu/oxffaDJ7qIWv,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7676,B324AA62XPvAibaEXe9h45naFhFKYnJpwCUzzMDr,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7677,40E6B6E5XPvAibaEXe+BHZkA9XgGXRJzAFhTNzBm,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7678,BAD275EDXPvAibaEXe+6MN9FoW2mqadHvO5K6fIQ,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7679,6DCCEA04XPvAibaEXe/+PcSgI7YkeTfztD9kDzr/,2.0,Bị cảnh cáo vì:\n- Vì ĐTB học kỳ 1 < 3\n- Vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7680,97C2C03FXPvAibaEXe+PhKfQb0+XJ2fDNXQs9az5,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7681,1B290682XPvAibaEXe9HKUC7sboLjhj6Skar7Eh0,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7682,50B2DD22XPvAibaEXe+pDN88/1DR4Nnc7Q9fHda/,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7683,98857340XPvAibaEXe+pDN88/1DR4IgAxOQlHkuX,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7684,59078061XPvAibaEXe9tdh69VvZt1+Ti0cTWxX8h,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7685,AC17A2EBXPvAibaEXe+ltCXpm838vTWWVUsJrTsd,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7686,0F633F90XPvAibaEXe9o/lUQXb5f/3wDMeffVbKe,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7687,789BE82DXPvAibaEXe/NRwqjPAC0MH7Z5B/F4F4Y,2.0,Bị cảnh cáo vì:\n- Vì ĐTB học kỳ 1 < 3\n- Vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7688,F0DA4E5BXPvAibaEXe88UewilValgCEO6Q/IE/fA,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7689,005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,2.0,Bị cảnh cáo: \n-Vì ĐTB 2 học kỳ liên tiếp < 4\n- Vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7690,68A9F6E0XPvAibaEXe+Wjq/eoSKNhSFFR3HqFJZ7,2.0,Bị cảnh cáo vì:\n- Vì ĐTB học kỳ 1 < 3\n- Vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7691,0A275EF0XPvAibaEXe9j81k8MH0oJ07F7M1SwTm7,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7692,7A877B93XPvAibaEXe/dMvqGUzyBHKb1SK3FzsOv,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7693,FF1F91C6XPvAibaEXe9QJDM9nE85iG8enJ2bG8BP,2.0,Bị cảnh cáo vì:\n- Vì ĐTB học kỳ 1 < 3\n- Vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7694,E8B314E9XPvAibaEXe/GP74oAJxkeJbsEk9Q36Ww,2.0,Bị cảnh cáo vì:\n- Vì ĐTB học kỳ 1 < 3\n- Vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7695,62A950A6XPvAibaEXe8yzZ/8QUtgdv/TDzLoF+yc,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7696,14F36C86XPvAibaEXe+E+n9mGyneJx876KeeY376,2.0,Bị cảnh cáo vì:\n- Vì ĐTB học kỳ 1 < 3\n- Vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7697,F7AEF87FXPvAibaEXe9tSnfLfDeWaq2I5IvDc2nY,2.0,Bị cảnh cáo vì:\n- Vì ĐTB học kỳ 1 < 3\n- Vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7698,B2895E1BXPvAibaEXe+k2gCw0RZzlS5qI5KJx1wi,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7699,C545722AXPvAibaEXe9E+yOJSz6HocEJuG3fpsq5,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7700,F451D99AXPvAibaEXe+fPSOag5leTcWuR+r937fj,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7701,7AFD7535XPvAibaEXe8y6/RMXZRwBXIh5HEXe283,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7702,891F156CXPvAibaEXe/wvgrdNVCyf5jLOkWpgXlY,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
